flavour,charge,sigma_gen_nb,sigma_reco_nb,r_x_gen_nb,r_x_gen_err_nb,r_x_reco_nb,r_x_reco_err_nb,AxEps_reco_over_gen
mu,Wp,49.77006,44.67881,50.35697,0.91477,45.11629,0.82359,0.89770
mu,Wm,39.59569,37.41146,39.67540,0.79716,37.45176,0.75356,0.94484
mu,W,89.36575,82.09028,90.03236,1.21373,82.56805,1.11669,0.91859
ele,Wp,49.77006,37.70602,50.35697,0.91477,38.14911,0.69430,0.75760
ele,Wm,39.59569,30.56955,39.67540,0.79716,30.57615,0.61458,0.77204
ele,W,89.36575,68.27557,90.03236,1.21373,68.72525,0.92749,0.76400
