flavour,charge,ybin,etaCM_center,etaCM_halfwidth,dsigma_gen,dsigma_reco,dsigma_r_gen,dsigma_r_gen_err,dsigma_r_reco,dsigma_r_reco_err,AxEps
ele,Wm,5,-0.5466,0.2000,8.92752,7.09273,9.75778,0.74738,7.75236,0.59378,0.79448
ele,Wm,6,-0.1466,0.2000,8.68469,6.86292,10.15240,0.78113,8.02275,0.61727,0.79023
ele,Wm,7,0.2534,0.2000,8.41017,6.64377,9.79575,0.78150,7.73833,0.61736,0.78997
ele,Wm,8,0.6534,0.2000,8.00984,6.02767,10.32820,0.84732,7.77232,0.63763,0.75253
ele,Wm,9,1.0534,0.2000,7.49652,4.58133,9.25978,0.82257,5.65890,0.50269,0.61113
ele,Wm,10,1.4534,0.2000,6.91449,5.46791,8.66420,0.80578,6.85157,0.63720,0.79079
ele,Wm,11,1.8534,0.2000,6.40783,4.88952,8.27399,0.82734,6.31350,0.63130,0.76305
ele,W,0,-2.5466,0.2000,18.01996,14.22276,16.87889,1.22263,13.32229,0.96500,0.78928
ele,W,1,-2.1466,0.2000,18.99403,14.57838,20.32231,1.38473,15.59788,1.06281,0.76752
ele,W,2,-1.7466,0.2000,19.49558,11.97742,22.18808,1.45479,13.63186,0.89379,0.61437
ele,W,3,-1.3466,0.2000,19.69880,14.78685,19.65631,1.27705,14.75504,0.95862,0.75065
ele,W,4,-0.9466,0.2000,19.61271,15.41972,20.38213,1.29482,16.02742,1.01815,0.78621
ele,W,5,-0.5466,0.2000,19.44454,15.52696,21.40959,1.36429,17.09664,1.08945,0.79853
ele,W,6,-0.1466,0.2000,19.08913,14.91900,21.22356,1.38130,16.59507,1.08012,0.78154
ele,W,7,0.2534,0.2000,18.80884,14.67543,23.17061,1.54929,18.06873,1.20816,0.78024
ele,W,8,0.6534,0.2000,18.43160,13.69520,21.64551,1.53555,16.09872,1.14207,0.74303
ele,W,9,1.0534,0.2000,17.79306,10.77452,21.07702,1.59717,12.76677,0.96737,0.60555
ele,W,10,1.4534,0.2000,17.34203,13.62620,21.90895,1.72966,17.21398,1.35893,0.78573
ele,W,11,1.8534,0.2000,16.68410,12.70850,19.80149,1.69508,15.08452,1.29127,0.76171
